326b	蛾	56・2・13456
326c	賀	56・2・1245
326d	雅	56・2・13
326e	餓	56・2・134
326f	駕	56・2・14
3270	介	46・16・123
3271	会	46・16・1
3272	解	46・16・2345
3273	回	46・16・1356
3274	塊	46・16・16
3275	壊	46・16・3
3276	廻	235・46・16・1
3277	快	46・16・246
3278	怪	46・16・34
3279	悔	46・16・146
327a	恢	46・16・125
327b	懐	46・16・13
327c	戒	46・16・12
327d	拐	46・16・12345
327e	改	46・16・135
3321	魁	46・16・1456
3322	晦	235・46・16・1236
3323	械	46・16・126
3324	海	46・16・14
3325	灰	46・16・136
3326	界	46・16・1245
3327	皆	46・16・12356
3328	絵	46・16・124
3329	芥	46・16・12456
332a	蟹	46・16・13456
332b	開	46・16・1236
332c	階	46・16・134
332d	貝	46・46・1245
332e	凱	46・2・3
332f	劾	46・2・1235
3330	外	46・2・2456
3331	咳	46・2・245
3332	害	46・2・14
3333	崖	46・2・34
3334	慨	46・2・125
3335	概	46・2・126
3336	涯	46・2・156
3337	碍	46・2・12
3338	蓋	46・2・146
3339	街	46・2・1356
333a	該	46・2・13
333b	鎧	46・2・1234
333c	骸	46・2・2346
333d	浬	6・15・1456
333e	馨	46・1246・24
333f	蛙	6・1・13456
3340	垣	456・124・16
3341	柿	26・134・126
3342	蛎	46・1245・13456
3343	鈎	26・234・1234
3344	劃	256・16・125
3345	嚇	256・16・245
3346	各	256・16・24
3347	廓	256・16・1234
3348	拡	256・16・124
3349	撹	256・16・12345
334a	格	256・16・126
334b	核	256・14・126
334c	殻	256・14・16
334d	獲	256・14・124
334e	確	256・16・135
334f	穫	256・16・234
3350	覚	256・14・24
3351	角	256・16・1345
3352	赫	256・16・1
3353	較	256・16・346
3354	郭	256・16・134
3355	閣	256・16・16
3356	隔	256・16・12346
3357	革	256・16・3
3358	学	256・2・1356
3359	岳	256・2・135
335a	楽	256・15・135
335b	額	256・2・1236
335c	顎	256・2・15
335d	掛	56・356・16
335e	笠	6・145・1246
335f	樫	456・1246・23456
3360	橿	46・126・23456
3361	梶	256・3456・126
3362	鰍	6・346・12346
3363	潟	256・12456・16
3364	割	26・16・3
3365	喝	26・16・245
3366	恰	26・16・125
3367	括	26・16・124
3368	活	26・16・156
3369	渇	26・16・16
336a	滑	26・16・13
336b	葛	26・16・146
