523f	區	235・1245・146・136
5240	卆	235・15・2456・245
5241	卅	235・125・2456・245
5242	丗	235・125・12456・245
5243	卉	235・1245・126・245
5244	卍	235・245・46・245
5245	凖	235・245・256・123
5246	卞	235・245・12346・2345
5247	卩	235・15・12456・134
5248	卮	235・1245・1256・134
5249	夘	235・245・124・346
524a	卻	235・24・126・134
524b	卷	235・245・16・134
524c	厂	235・245・16・1234
524d	厖	235・125・56・1234
524e	厠	235・1245・1256・1245
524f	厦	235・1245・16・1245
5250	厥	26・1246・1234
5251	厮	235・15・134・1245
5252	厰	235・125・34・1234
5253	厶	235・1245・1256・1
5254	參	235・245・156・13456
5255	簒	235・245・156・135
5256	雙	46・2456・2345
5257	叟	235・125・2456・1356
5258	曼	235・245・1356・1236
5259	燮	235・125・1256・16
525a	叮	235・125・12345・245
525b	叨	235・125・2345・245
525c	叭	235・15・136・245
525d	叺	235・24・134・245
525e	吁	235・1245・146・245
525f	吽	235・245・14・245
5260	呀	235・1245・2・245
5261	听	456・126・245
5262	吭	235・125・246・245
5263	吼	235・24・234・245
5264	吮	235・245・12456・245
5265	吶	26・2345・245
5266	吩	235・245・13456・245
5267	吝	235・245・125・245
5268	呎	235・145・12456・245
5269	咏	235・125・124・245
526a	呵	56・16・1234
526b	咎	235・24・146・245
526c	呟	235・145・1246・245
526d	呱	235・1245・246・245
526e	呷	235・15・234・245
526f	呰	235・1245・1256・245
5270	咒	235・24・256・245
5271	呻	235・245・1256・245
5272	咀	56・456・13
5273	呶	235・15・6・245
5274	咄	235・15・2345・146
5275	咐	235・1245・2346・245
5276	咆	235・145・234・245
5277	哇	235・125・1・245
5278	咢	235・145・2・245
5279	咸	456・356・245
527a	咥	235・145・126・245
527b	咬	456・234・146
527c	哄	235・245・234・245
527d	哈	235・125・35・146
527e	咨	235・1245・1256・146
5321	咫	235・15・134・245
5322	哂	235・245・134・245
5323	咤	235・24・46・245
5324	咾	235・125・245・245
5325	咼	235・125・16・245
5326	哘	235・245・234・146
5327	哥	235・1245・356・245
5328	哦	235・1245・2・146
5329	唏	235・145・126・146
532a	唔	235・1245・35・245
532b	哽	235・1235・246・245
532c	哮	235・1235・246・146
532d	哭	256・246・245
532e	哺	235・1245・2346・146
532f	哢	235・125・245・146
5330	唹	235・1245・345・245
5331	啀	235・125・2・146
5332	啣	235・24・16・245
5333	啌	235・234・234・245
5334	售	235・24・346・245
5335	啜	235・15・12345・245
5336	啅	235・145・135・245
5337	啖	235・245・135・245
5338	啗	235・245・135・146
5339	唸	235・245・12345・245
533a	唳	235・125・1245・245
533b	啝	235・15・356・245
533c	喙	46・16・245
533d	喀	235・145・16・245
533e	咯	235・145・16・146
533f	喊	235・24・16・146
5340	喟	235・12345・126・245
5341	啻	235・15・134・146
5342	啾	235・24・346・146
5343	喘	456・2356・245
5344	喞	235・24・12456・146
5345	單	235・2345・135・245
5346	啼	6・123456・245
5347	喃	235・245・13・245
5348	喩	235・1245・346・245
5349	喇	235・15・15・245
534a	喨	235・125・125・245
534b	嗚	235・24・24・245
534c	嗅	6・146・245
534d	嗟	235・1245・156・245
534e	嗄	56・16・1346
534f	嗜	235・24・34・245
5350	嗤	235・24・34・146
5351	嗔	235・245・134・146
5352	嘔	46・24・245
5353	嗷	235・1235・35・245
5354	嘖	235・145・156・245
5355	嗾	235・125・14・245
5356	嗽	46・2456・1246
5357	嘛	235・24・1356・245
5358	嗹	235・245・1245・245
5359	噎	26・124・245
535a	噐	235・1245・126・146
535b	營	235・125・124・16
535c	嘴	6・34・146
535d	嘶	235・125・12456・146
535e	嘲	235・125・1235・245
535f	嘸	235・1245・45・245
5360	噫	6・12・245
5361	噤	235・245・126・146
5362	嘯	235・125・1256・245
5363	噬	235・125・2356・245
5364	噪	235・1235・2456・245
5365	嚆	235・234・234・146
5366	嚀	235・125・1234・245
5367	嚊	235・145・1236・245
5368	嚠	235・24・145・245
5369	嚔	235・24・123456・245
536a	嚏	46・12345・146
536b	嚥	456・124・245
536c	嚮	235・125・126・245
536d	嚶	235・1235・24・245
536e	嚴	235・245・235・245
536f	囂	235・1235・35・146
5370	嚼	6・1256・245
5371	囁	46・34・245
5372	囃	46・14・245
5373	囀	235・245・12345・146
5374	囈	235・125・235・245
5375	囎	235・125・356・245
5376	囑	235・24・12456・245
5377	囓	235・15・1246・245
5378	囗	235・24・12・123
5379	囮	235・1245・356・124
537a	囹	235・125・1245・124
537b	圀	235・145・246・124
537c	囿	235・125・346・124
537d	圄	235・24・35・123
537e	圉	235・24・35・124
5421	圈	235・245・1246・124
5422	國	235・145・246・123
5423	圍	235・24・12・124
5424	圓	235・245・124・123
5425	團	235・245・4・123
5426	圖	235・1245・256・123
5427	嗇	235・234・12456・245
5428	圜	235・245・356・123
5429	圦	235・24・134・1235
542a	圷	235・1245・16・1235
542b	圸	235・245・156・1235
542c	坎	235・245・16・1345
542d	圻	235・145・126・1235
542e	址	235・1245・1256・1235
542f	坏	235・145・13・1235
5430	坩	235・245・356・1235
5431	埀	235・1245・1456・1235
5432	垈	235・15・136・1235
5433	坡	235・24・13・1235
5434	坿	235・125・13456・1235
5435	垉	235・145・234・1235
5436	垓	235・125・2・1235
5437	垠	235・245・23・1235
5438	垳	235・125・246・1235
5439	垤	235・15・12345・1235
543a	垪	235・125・12346・1235
543b	垰	235・125・236・1345
543c	埃	46・1・1235
543d	埆	235・145・16・1235
543e	埔	235・1245・2346・1235
543f	埒	235・15・1245・1235
5440	埓	235・15・1245・1345
5441	堊	235・24・1・1235
5442	埖	235・1245・16・1345
5443	埣	235・125・156・1235
5444	堋	235・15・2346・1235
5445	堙	235・245・12・1235
5446	堝	235・1245・356・1235
5447	塲	235・125・236・1235
5448	堡	235・1245・2346・1345
5449	塢	235・24・24・1235
544a	塋	235・125・124・1235
544b	塰	235・125・16・1235
544c	毀	235・1245・126・1356
544d	塒	235・1245・1256・1345
544e	堽	235・125・246・1345
544f	塹	235・245・26・1235
5450	墅	235・24・2456・1235
5451	墹	235・245・356・1345
5452	墟	6・246・1235
5453	墫	235・245・1456・1235
5454	墺	235・125・24・1235
5455	壞	235・125・16・1345
5456	墻	235・125・1256・1345
5457	墸	235・24・2345・1235
5458	墮	235・1245・4・1235
5459	壅	235・125・345・1235
545a	壓	235・15・1・1235
545b	壑	235・145・2・1235
545c	壗	235・245・236・1235
545d	壙	235・24・234・1235
545e	壘	235・125・145・1235
545f	壥	235・245・12345・1235
5460	壜	235・245・135・1235
5461	壤	235・245・345・1235
